"Date","Price","Open","High","Low","Change %"
"Jun 22","1,806.80","1,836.55","1,879.01","1,802.87","-1.65%"
"May 22","1,837.09","1,896.09","1,910.03","1,786.95","-3.13%"
"Apr 22","1,896.40","1,937.51","1,998.60","1,872.19","-2.11%"
"Mar 22","1,937.23","1,908.19","2,070.29","1,890.03","1.54%"
"Feb 22","1,907.90","1,796.72","1,974.48","1,788.39","6.20%"
"Jan 22","1,796.47","1,830.14","1,853.98","1,779.88","-1.75%"
"Dec 21","1,828.39","1,774.15","1,830.58","1,753.84","3.08%"
"Nov 21","1,773.78","1,783.24","1,877.40","1,758.45","-0.51%"
"Oct 21","1,782.81","1,756.91","1,814.22","1,745.45","1.49%"
"Sep 21","1,756.66","1,813.57","1,834.55","1,721.07","-3.13%"
"Aug 21","1,813.43","1,814.34","1,832.10","1,684.77","-0.01%"
"Jul 21","1,813.58","1,770.06","1,833.99","1,765.47","2.47%"
"Jun 21","1,769.80","1,907.53","1,916.84","1,750.11","-7.16%"
"May 21","1,906.36","1,768.49","1,913.15","1,765.91","7.79%"
"Apr 21","1,768.59","1,708.09","1,798.29","1,705.42","3.61%"
"Mar 21","1,707.01","1,733.40","1,760.02","1,676.70","-1.53%"
"Feb 21","1,733.49","1,863.05","1,871.84","1,717.26","-6.10%"
"Jan 21","1,846.09","1,897.69","1,959.60","1,810.46","-2.66%"
"Dec 20","1,896.49","1,777.40","1,906.93","1,775.52","6.72%"
"Nov 20","1,777.02","1,878.59","1,965.92","1,764.69","-5.37%"
"Oct 20","1,877.95","1,885.80","1,933.45","1,859.67","-0.40%"
"Sep 20","1,885.44","1,967.63","1,992.38","1,848.45","-4.28%"
"Aug 20","1,969.75","1,980.98","2,073.41","1,864.30","-0.25%"
"Jul 20","1,974.69","1,781.60","1,981.22","1,757.68","10.90%"
"Jun 20","1,780.67","1,738.05","1,786.02","1,670.74","3.15%"
"May 20","1,726.30","1,685.95","1,765.94","1,670.06","2.75%"
"Apr 20","1,680.09","1,571.00","1,747.85","1,566.97","6.94%"
"Mar 20","1,571.05","1,591.10","1,702.96","1,451.50","-0.86%"
"Feb 20","1,584.74","1,590.20","1,689.11","1,547.40","-0.32%"
"Jan 20","1,589.81","1,517.24","1,611.15","1,517.12","4.80%"
"Dec 19","1,517.01","1,467.03","1,525.45","1,453.91","3.63%"
"Nov 19","1,463.90","1,513.32","1,515.81","1,445.61","-3.26%"
"Oct 19","1,513.16","1,472.30","1,518.81","1,459.00","2.80%"
"Sep 19","1,472.00","1,520.10","1,557.38","1,464.42","-3.15%"
"Aug 19","1,519.85","1,411.34","1,555.13","1,400.65","7.52%"
